Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
6,1,R2_3_3_2_0Y0.pct,1186,[b],[n],0,False
6,2,R3_4_3_2_90Y150.pct,1415,[n],[n],150,True
6,3,2_4_4_2_0Y150.pct,1563,[b],[b],150,True
6,4,3_3_3_2_0Y100.pct,2832,[b],[b],100,True
6,5,3_3_3_3_90Y50.pct,1218,[b],[b],50,True
6,6,R2_4_4_2_0Y50.pct,1794,[n],[n],50,True
6,7,R3_3_3_3_90Y100.pct,1654,[n],[n],100,True
6,8,2_3_3_2_0Y0.pct,998,[b],[b],0,True
6,9,R3_4_3_3_180Y150.pct,2525,[n],[n],150,True
6,10,2_4_4_2_180Y150.pct,1512,[n],[b],150,False
6,11,R3_3_4_2_0Y50.pct,2543,[n],[n],50,True
6,12,R2_3_4_2_90Y0.pct,1347,[n],[n],0,True
6,13,3_3_3_3_180Y0.pct,1495,[b],[b],0,True
6,14,R3_4_3_3_180Y100.pct,1878,[n],[n],100,True
6,15,2_4_4_3_90Y100.pct,1597,[b],[b],100,True
6,16,3_4_3_2_90Y50.pct,1192,[b],[b],50,True
6,17,R2_4_4_3_90Y100.pct,2172,[n],[n],100,True
6,18,2_3_3_2_0Y150.pct,1583,[b],[b],150,True
6,19,R2_3_4_2_90Y50.pct,1453,[n],[n],50,True
6,20,2_3_4_2_90Y50.pct,1501,[b],[b],50,True
6,21,R2_4_4_2_180Y100.pct,1371,[n],[n],100,True
6,22,R2_4_4_2_0Y0.pct,1991,[n],[n],0,True
6,23,3_4_3_2_90Y0.pct,986,[b],[b],0,True
6,24,R3_3_3_2_0Y150.pct,2561,[n],[n],150,True
6,25,R3_4_4_3_180Y150.pct,1674,[n],[n],150,True
6,26,R3_4_3_3_180Y50.pct,1666,[n],[n],50,True
6,27,3_4_3_3_180Y50.pct,1851,[b],[b],50,True
6,28,3_3_3_3_90Y100.pct,1675,[b],[b],100,True
6,29,2_4_4_2_180Y0.pct,1025,[b],[b],0,True
6,30,R3_4_3_2_90Y0.pct,1269,[n],[n],0,True
6,31,3_3_4_2_0Y150.pct,3372,[b],[b],150,True
6,32,R3_3_4_2_0Y100.pct,2056,[n],[n],100,True
6,33,3_3_3_3_180Y50.pct,1112,[b],[b],50,True
6,34,3_3_4_2_0Y100.pct,1775,[n],[b],100,False
6,35,3_4_4_3_180Y150.pct,1948,[b],[b],150,True
6,36,R3_3_3_3_180Y0.pct,1231,[n],[n],0,True
6,37,3_4_3_3_180Y100.pct,2098,[b],[b],100,True
6,38,R3_3_3_3_180Y150.pct,1432,[n],[n],150,True
6,39,3_4_3_3_180Y0.pct,1298,[b],[b],0,True
6,40,R3_3_3_3_90Y50.pct,1104,[n],[n],50,True
6,41,2_4_4_3_90Y150.pct,1351,[b],[b],150,True
6,42,R3_4_3_3_180Y0.pct,3357,[n],[n],0,True
6,43,3_3_3_3_180Y100.pct,1489,[b],[b],100,True
6,44,R2_3_4_2_90Y150.pct,1952,[n],[n],150,True
6,45,R2_3_3_2_0Y50.pct,1525,[n],[n],50,True
6,46,R2_3_4_2_90Y100.pct,1606,[n],[n],100,True
6,47,3_4_4_3_180Y0.pct,1083,[b],[b],0,True
6,48,3_4_4_3_180Y50.pct,1076,[b],[b],50,True
6,49,R2_4_4_2_0Y100.pct,1828,[n],[n],100,True
6,50,R2_3_3_2_0Y150.pct,1691,[n],[n],150,True
6,51,3_3_4_2_0Y0.pct,1232,[b],[b],0,True
6,52,R2_4_4_3_90Y0.pct,1217,[n],[n],0,True
6,53,3_4_4_3_180Y100.pct,1693,[b],[b],100,True
6,54,R2_4_4_2_180Y50.pct,1234,[n],[n],50,True
6,55,3_3_3_2_0Y150.pct,3580,[b],[b],150,True
6,56,2_4_4_2_0Y50.pct,1288,[b],[b],50,True
6,57,R2_4_4_2_0Y150.pct,1447,[n],[n],150,True
6,58,R3_4_3_2_90Y100.pct,1145,[n],[n],100,True
6,59,2_3_4_2_90Y150.pct,1552,[b],[b],150,True
6,60,3_4_3_2_90Y100.pct,1604,[b],[b],100,True
6,61,2_4_4_3_90Y0.pct,1130,[b],[b],0,True
6,62,R2_4_4_2_180Y0.pct,1064,[n],[n],0,True
6,63,R2_4_4_3_90Y50.pct,1352,[n],[n],50,True
6,64,2_4_4_3_90Y50.pct,1228,[b],[b],50,True
6,65,R2_4_4_2_180Y150.pct,1422,[n],[n],150,True
6,66,3_3_3_3_90Y0.pct,1030,[b],[b],0,True
6,67,3_3_3_3_180Y150.pct,1265,[b],[b],150,True
6,68,R3_3_3_3_90Y0.pct,1112,[n],[n],0,True
6,69,R3_3_3_2_0Y50.pct,1321,[n],[n],50,True
6,70,2_4_4_2_180Y50.pct,1085,[b],[b],50,True
6,71,2_4_4_2_0Y100.pct,1050,[b],[b],100,True
6,72,R3_3_3_2_0Y100.pct,1177,[n],[n],100,True
6,73,2_3_4_2_90Y100.pct,1040,[b],[b],100,True
6,74,R3_3_3_3_180Y100.pct,1042,[n],[n],100,True
6,75,3_3_3_3_90Y150.pct,1111,[b],[b],150,True
6,76,R3_3_4_2_0Y0.pct,1363,[n],[n],0,True
6,77,3_3_3_2_0Y0.pct,1327,[b],[b],0,True
6,78,3_3_3_2_0Y50.pct,1516,[n],[b],50,False
6,79,R3_3_3_3_180Y50.pct,1041,[n],[n],50,True
