Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
2,1,R2_3_3_2_0Y0.pct,3644,[n],[n],0,True
2,2,R3_4_3_2_90Y150.pct,7243,[n],[n],150,True
2,3,2_4_4_2_0Y150.pct,1846,[b],[b],150,True
2,4,3_3_3_2_0Y100.pct,1835,[b],[b],100,True
2,5,3_3_3_3_90Y50.pct,1557,[b],[b],50,True
2,6,R2_4_4_2_0Y50.pct,1720,[n],[n],50,True
2,7,R3_3_3_3_90Y100.pct,6427,[b],[n],100,False
2,8,2_3_3_2_0Y0.pct,1174,[b],[b],0,True
2,9,R3_4_3_3_180Y150.pct,3911,[n],[n],150,True
2,10,2_4_4_2_180Y150.pct,3648,[b],[b],150,True
2,11,R3_3_4_2_0Y50.pct,1491,[b],[n],50,False
2,12,R2_3_4_2_90Y0.pct,1290,[n],[n],0,True
2,13,3_3_3_3_180Y0.pct,855,[b],[b],0,True
2,14,R3_4_3_3_180Y100.pct,3528,[n],[n],100,True
2,15,2_4_4_3_90Y100.pct,3039,[b],[b],100,True
2,16,3_4_3_2_90Y50.pct,1711,[b],[b],50,True
2,17,R2_4_4_3_90Y100.pct,N/A,[N/A],[n],100,False
2,18,2_3_3_2_0Y150.pct,N/A,[n],[b],150,False
2,19,R2_3_4_2_90Y50.pct,5811,[n],[n],50,True
2,20,2_3_4_2_90Y50.pct,1193,[b],[b],50,True
2,21,R2_4_4_2_180Y100.pct,3356,[n],[n],100,True
2,22,R2_4_4_2_0Y0.pct,1433,[n],[n],0,True
2,23,3_4_3_2_90Y0.pct,1034,[b],[b],0,True
2,24,R3_3_3_2_0Y150.pct,1799,[b],[n],150,False
2,25,R3_4_4_3_180Y150.pct,2462,[n],[n],150,True
2,26,R3_4_3_3_180Y50.pct,1540,[n],[n],50,True
2,27,3_4_3_3_180Y50.pct,2262,[b],[b],50,True
2,28,3_3_3_3_90Y100.pct,2247,[b],[b],100,True
2,29,2_4_4_2_180Y0.pct,875,[b],[b],0,True
2,30,R3_4_3_2_90Y0.pct,1232,[n],[n],0,True
2,31,3_3_4_2_0Y150.pct,2214,[b],[b],150,True
2,32,R3_3_4_2_0Y100.pct,1982,[n],[n],100,True
2,33,3_3_3_3_180Y50.pct,2195,[b],[b],50,True
2,34,3_3_4_2_0Y100.pct,2061,[b],[b],100,True
2,35,3_4_4_3_180Y150.pct,2911,[b],[b],150,True
2,36,R3_3_3_3_180Y0.pct,1846,[n],[n],0,True
2,37,3_4_3_3_180Y100.pct,2382,[b],[b],100,True
