Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
26,1,R2_3_3_2_0Y0.pct,2775,[n],[n],0,True
26,2,R3_4_3_2_90Y150.pct,2129,[n],[n],150,True
26,3,2_4_4_2_0Y150.pct,1548,[b],[b],150,True
26,4,3_3_3_2_0Y100.pct,4776,[b],[b],100,True
26,5,3_3_3_3_90Y50.pct,2467,[b],[b],50,True
26,6,R2_4_4_2_0Y50.pct,3523,[n],[n],50,True
26,7,R3_3_3_3_90Y100.pct,4751,[n],[n],100,True
26,8,2_3_3_2_0Y0.pct,1177,[b],[b],0,True
26,9,R3_4_3_3_180Y150.pct,2698,[n],[n],150,True
26,10,2_4_4_2_180Y150.pct,4729,[b],[b],150,True
26,11,R3_3_4_2_0Y50.pct,3871,[n],[n],50,True
26,12,R2_3_4_2_90Y0.pct,1516,[n],[n],0,True
26,13,3_3_3_3_180Y0.pct,1507,[b],[b],0,True
26,14,R3_4_3_3_180Y100.pct,2007,[n],[n],100,True
26,15,2_4_4_3_90Y100.pct,2156,[b],[b],100,True
26,16,3_4_3_2_90Y50.pct,1658,[b],[b],50,True
26,17,R2_4_4_3_90Y100.pct,3726,[n],[n],100,True
26,18,2_3_3_2_0Y150.pct,2106,[b],[b],150,True
26,19,R2_3_4_2_90Y50.pct,2255,[n],[n],50,True
26,20,2_3_4_2_90Y50.pct,2031,[b],[b],50,True
26,21,R2_4_4_2_180Y100.pct,2178,[n],[n],100,True
26,22,R2_4_4_2_0Y0.pct,1375,[b],[n],0,False
26,23,3_4_3_2_90Y0.pct,1225,[b],[b],0,True
26,24,R3_3_3_2_0Y150.pct,2612,[b],[n],150,False
26,25,R3_4_4_3_180Y150.pct,1004,[n],[n],150,True
26,26,R3_4_3_3_180Y50.pct,1845,[n],[n],50,True
26,27,3_4_3_3_180Y50.pct,1545,[b],[b],50,True
26,28,3_3_3_3_90Y100.pct,1919,[b],[b],100,True
26,29,2_4_4_2_180Y0.pct,1098,[b],[b],0,True
26,30,R3_4_3_2_90Y0.pct,1270,[n],[n],0,True
26,31,3_3_4_2_0Y150.pct,5922,[b],[b],150,True
26,32,R3_3_4_2_0Y100.pct,2646,[n],[n],100,True
26,33,3_3_3_3_180Y50.pct,1991,[b],[b],50,True
26,34,3_3_4_2_0Y100.pct,2531,[b],[b],100,True
26,35,3_4_4_3_180Y150.pct,5373,[b],[b],150,True
26,36,R3_3_3_3_180Y0.pct,1135,[n],[n],0,True
26,37,3_4_3_3_180Y100.pct,N/A,[N/A],[b],100,False
26,38,R3_3_3_3_180Y150.pct,3467,[n],[n],150,True
26,39,3_4_3_3_180Y0.pct,1002,[b],[b],0,True
26,40,R3_3_3_3_90Y50.pct,1190,[n],[n],50,True
26,41,2_4_4_3_90Y150.pct,2782,[b],[b],150,True
26,42,R3_4_3_3_180Y0.pct,1142,[n],[n],0,True
26,43,3_3_3_3_180Y100.pct,3661,[n],[b],100,False
26,44,R2_3_4_2_90Y150.pct,2262,[n],[n],150,True
26,45,R2_3_3_2_0Y50.pct,1345,[n],[n],50,True
26,46,R2_3_4_2_90Y100.pct,2639,[n],[n],100,True
26,47,3_4_4_3_180Y0.pct,1259,[b],[b],0,True
26,48,3_4_4_3_180Y50.pct,1359,[b],[b],50,True
26,49,R2_4_4_2_0Y100.pct,2689,[n],[n],100,True
26,50,R2_3_3_2_0Y150.pct,1417,[n],[n],150,True
26,51,3_3_4_2_0Y0.pct,1144,[b],[b],0,True
26,52,R2_4_4_3_90Y0.pct,1087,[n],[n],0,True
26,53,3_4_4_3_180Y100.pct,2620,[b],[b],100,True
26,54,R2_4_4_2_180Y50.pct,1046,[n],[n],50,True
26,55,3_3_3_2_0Y150.pct,3141,[b],[b],150,True
26,56,2_4_4_2_0Y50.pct,1153,[b],[b],50,True
26,57,R2_4_4_2_0Y150.pct,2143,[n],[n],150,True
26,58,R3_4_3_2_90Y100.pct,1324,[n],[n],100,True
26,59,2_3_4_2_90Y150.pct,1536,[b],[b],150,True
26,60,3_4_3_2_90Y100.pct,2958,[b],[b],100,True
26,61,2_4_4_3_90Y0.pct,1143,[b],[b],0,True
26,62,R2_4_4_2_180Y0.pct,1637,[n],[n],0,True
26,63,R2_4_4_3_90Y50.pct,1783,[n],[n],50,True
26,64,2_4_4_3_90Y50.pct,2652,[b],[b],50,True
26,65,R2_4_4_2_180Y150.pct,3243,[n],[n],150,True
26,66,3_3_3_3_90Y0.pct,1135,[b],[b],0,True
26,67,3_3_3_3_180Y150.pct,4616,[b],[b],150,True
26,68,R3_3_3_3_90Y0.pct,918,[n],[n],0,True
26,69,R3_3_3_2_0Y50.pct,1878,[n],[n],50,True
26,70,2_4_4_2_180Y50.pct,1621,[b],[b],50,True
26,71,2_4_4_2_0Y100.pct,1296,[b],[b],100,True
26,72,R3_3_3_2_0Y100.pct,2889,[n],[n],100,True
26,73,2_3_4_2_90Y100.pct,1843,[b],[b],100,True
26,74,R3_3_3_3_180Y100.pct,1910,[n],[n],100,True
26,75,3_3_3_3_90Y150.pct,3006,[b],[b],150,True
26,76,R3_3_4_2_0Y0.pct,2883,[n],[n],0,True
26,77,3_3_3_2_0Y0.pct,2266,[b],[b],0,True
26,78,3_3_3_2_0Y50.pct,1857,[b],[b],50,True
26,79,R3_3_3_3_180Y50.pct,1112,[n],[n],50,True
26,80,R3_3_3_3_90Y150.pct,3257,[b],[n],150,False
26,81,R3_4_4_3_180Y50.pct,3586,[n],[n],50,True
26,82,2_3_4_2_90Y0.pct,910,[b],[b],0,True
26,83,R3_3_4_2_0Y150.pct,2143,[n],[n],150,True
26,84,3_3_4_2_0Y50.pct,1883,[b],[b],50,True
26,85,2_4_4_2_180Y100.pct,2350,[b],[b],100,True
26,86,R3_4_4_3_180Y0.pct,2164,[n],[n],0,True
26,87,3_4_3_3_180Y150.pct,2962,[b],[b],150,True
26,88,R3_4_4_3_180Y100.pct,2992,[n],[n],100,True
26,89,R2_3_3_2_0Y100.pct,2776,[n],[n],100,True
26,90,2_3_3_2_0Y50.pct,1129,[b],[b],50,True
26,91,2_4_4_2_0Y0.pct,923,[b],[b],0,True
26,92,3_4_3_2_90Y150.pct,5046,[b],[b],150,True
26,93,R2_4_4_3_90Y150.pct,1785,[n],[n],150,True
26,94,R3_4_3_2_90Y50.pct,1071,[n],[n],50,True
26,95,2_3_3_2_0Y100.pct,1154,[b],[b],100,True
26,96,R3_3_3_2_0Y0.pct,3520,[n],[n],0,True
