Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
51,1,R2_3_3_2_0Y0.pct,4607,[b],[n],0,False
51,2,R3_4_3_2_90Y150.pct,7330,[n],[n],150,True
51,3,2_4_4_2_0Y150.pct,4689,[n],[b],150,False
51,4,3_3_3_2_0Y100.pct,5549,[b],[b],100,True
51,5,3_3_3_3_90Y50.pct,2961,[b],[b],50,True
51,6,R2_4_4_2_0Y50.pct,1658,[n],[n],50,True
51,7,R3_3_3_3_90Y100.pct,2243,[n],[n],100,True
51,8,2_3_3_2_0Y0.pct,1746,[b],[b],0,True
51,9,R3_4_3_3_180Y150.pct,6125,[n],[n],150,True
51,10,2_4_4_2_180Y150.pct,2658,[n],[b],150,False
51,11,R3_3_4_2_0Y50.pct,2597,[n],[n],50,True
51,12,R2_3_4_2_90Y0.pct,3148,[b],[n],0,False
51,13,3_3_3_3_180Y0.pct,1098,[b],[b],0,True
51,14,R3_4_3_3_180Y100.pct,1957,[n],[n],100,True
51,15,2_4_4_3_90Y100.pct,2956,[n],[b],100,False
51,16,3_4_3_2_90Y50.pct,2866,[b],[b],50,True
51,17,R2_4_4_3_90Y100.pct,2767,[n],[n],100,True
51,18,2_3_3_2_0Y150.pct,2440,[n],[b],150,False
51,19,R2_3_4_2_90Y50.pct,2478,[n],[n],50,True
51,20,2_3_4_2_90Y50.pct,1674,[b],[b],50,True
51,21,R2_4_4_2_180Y100.pct,3296,[b],[n],100,False
51,22,R2_4_4_2_0Y0.pct,1583,[b],[n],0,False
51,23,3_4_3_2_90Y0.pct,2269,[b],[b],0,True
51,24,R3_3_3_2_0Y150.pct,2778,[n],[n],150,True
51,25,R3_4_4_3_180Y150.pct,2221,[b],[n],150,False
51,26,R3_4_3_3_180Y50.pct,1885,[n],[n],50,True
51,27,3_4_3_3_180Y50.pct,2915,[b],[b],50,True
51,28,3_3_3_3_90Y100.pct,4877,[n],[b],100,False
51,29,2_4_4_2_180Y0.pct,1146,[b],[b],0,True
51,30,R3_4_3_2_90Y0.pct,1346,[n],[n],0,True
51,31,3_3_4_2_0Y150.pct,981,[b],[b],150,True
51,32,R3_3_4_2_0Y100.pct,2394,[n],[n],100,True
51,33,3_3_3_3_180Y50.pct,2033,[b],[b],50,True
51,34,3_3_4_2_0Y100.pct,4715,[b],[b],100,True
51,35,3_4_4_3_180Y150.pct,3940,[n],[b],150,False
51,36,R3_3_3_3_180Y0.pct,1840,[n],[n],0,True
51,37,3_4_3_3_180Y100.pct,2756,[n],[b],100,False
51,38,R3_3_3_3_180Y150.pct,2010,[n],[n],150,True
51,39,3_4_3_3_180Y0.pct,1979,[b],[b],0,True
51,40,R3_3_3_3_90Y50.pct,2361,[n],[n],50,True
51,41,2_4_4_3_90Y150.pct,2442,[b],[b],150,True
51,42,R3_4_3_3_180Y0.pct,1677,[b],[n],0,False
51,43,3_3_3_3_180Y100.pct,3928,[n],[b],100,False
51,44,R2_3_4_2_90Y150.pct,3062,[n],[n],150,True
51,45,R2_3_3_2_0Y50.pct,1776,[n],[n],50,True
51,46,R2_3_4_2_90Y100.pct,1904,[n],[n],100,True
51,47,3_4_4_3_180Y0.pct,1074,[b],[b],0,True
51,48,3_4_4_3_180Y50.pct,1451,[n],[b],50,False
51,49,R2_4_4_2_0Y100.pct,3455,[n],[n],100,True
51,50,R2_3_3_2_0Y150.pct,2471,[n],[n],150,True
51,51,3_3_4_2_0Y0.pct,1020,[b],[b],0,True
51,52,R2_4_4_3_90Y0.pct,1409,[n],[n],0,True
51,53,3_4_4_3_180Y100.pct,2855,[b],[b],100,True
51,54,R2_4_4_2_180Y50.pct,2804,[n],[n],50,True
51,55,3_3_3_2_0Y150.pct,2190,[b],[b],150,True
51,56,2_4_4_2_0Y50.pct,1265,[b],[b],50,True
51,57,R2_4_4_2_0Y150.pct,1119,[n],[n],150,True
51,58,R3_4_3_2_90Y100.pct,1770,[n],[n],100,True
51,59,2_3_4_2_90Y150.pct,1627,[b],[b],150,True
51,60,3_4_3_2_90Y100.pct,2700,[b],[b],100,True
51,61,2_4_4_3_90Y0.pct,1329,[b],[b],0,True
51,62,R2_4_4_2_180Y0.pct,1774,[n],[n],0,True
51,63,R2_4_4_3_90Y50.pct,2788,[n],[n],50,True
51,64,2_4_4_3_90Y50.pct,1440,[b],[b],50,True
51,65,R2_4_4_2_180Y150.pct,1777,[n],[n],150,True
51,66,3_3_3_3_90Y0.pct,1185,[b],[b],0,True
51,67,3_3_3_3_180Y150.pct,2541,[b],[b],150,True
51,68,R3_3_3_3_90Y0.pct,1124,[n],[n],0,True
51,69,R3_3_3_2_0Y50.pct,1743,[n],[n],50,True
51,70,2_4_4_2_180Y50.pct,1035,[b],[b],50,True
51,71,2_4_4_2_0Y100.pct,1634,[b],[b],100,True
51,72,R3_3_3_2_0Y100.pct,2145,[b],[n],100,False
51,73,2_3_4_2_90Y100.pct,2047,[b],[b],100,True
51,74,R3_3_3_3_180Y100.pct,1656,[n],[n],100,True
51,75,3_3_3_3_90Y150.pct,1692,[b],[b],150,True
51,76,R3_3_4_2_0Y0.pct,1511,[n],[n],0,True
51,77,3_3_3_2_0Y0.pct,2376,[b],[b],0,True
51,78,3_3_3_2_0Y50.pct,2759,[b],[b],50,True
51,79,R3_3_3_3_180Y50.pct,1265,[n],[n],50,True
51,80,R3_3_3_3_90Y150.pct,1312,[n],[n],150,True
51,81,R3_4_4_3_180Y50.pct,2787,[n],[n],50,True
51,82,2_3_4_2_90Y0.pct,970,[b],[b],0,True
51,83,R3_3_4_2_0Y150.pct,1244,[n],[n],150,True
51,84,3_3_4_2_0Y50.pct,1492,[b],[b],50,True
51,85,2_4_4_2_180Y100.pct,2142,[n],[b],100,False
51,86,R3_4_4_3_180Y0.pct,1516,[b],[n],0,False
51,87,3_4_3_3_180Y150.pct,2748,[b],[b],150,True
51,88,R3_4_4_3_180Y100.pct,1953,[n],[n],100,True
51,89,R2_3_3_2_0Y100.pct,1887,[n],[n],100,True
51,90,2_3_3_2_0Y50.pct,1186,[b],[b],50,True
51,91,2_4_4_2_0Y0.pct,794,[b],[b],0,True
51,92,3_4_3_2_90Y150.pct,1121,[n],[b],150,False
51,93,R2_4_4_3_90Y150.pct,1112,[n],[n],150,True
51,94,R3_4_3_2_90Y50.pct,1673,[n],[n],50,True
51,95,2_3_3_2_0Y100.pct,1165,[b],[b],100,True
51,96,R3_3_3_2_0Y0.pct,1449,[n],[n],0,True
