Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
44,1,R2_3_3_2_0Y0.pct,4159,[n],[n],0,True
44,2,R3_4_3_2_90Y150.pct,N/A,[N/A],[n],150,False
44,3,2_4_4_2_0Y150.pct,4932,[b],[b],150,True
44,4,3_3_3_2_0Y100.pct,6622,[b],[b],100,True
44,5,3_3_3_3_90Y50.pct,4998,[n],[b],50,False
44,6,R2_4_4_2_0Y50.pct,6562,[n],[n],50,True
44,7,R3_3_3_3_90Y100.pct,N/A,[N/A],[n],100,False
44,8,2_3_3_2_0Y0.pct,3750,[b],[b],0,True
44,9,R3_4_3_3_180Y150.pct,5316,[n],[n],150,True
44,10,2_4_4_2_180Y150.pct,5217,[b],[b],150,True
44,11,R3_3_4_2_0Y50.pct,5579,[n],[n],50,True
44,12,R2_3_4_2_90Y0.pct,5002,[n],[n],0,True
44,13,3_3_3_3_180Y0.pct,3856,[b],[b],0,True
44,14,R3_4_3_3_180Y100.pct,5652,[n],[n],100,True
44,15,2_4_4_3_90Y100.pct,4642,[b],[b],100,True
44,16,3_4_3_2_90Y50.pct,6036,[b],[b],50,True
44,17,R2_4_4_3_90Y100.pct,7041,[n],[n],100,True
44,18,2_3_3_2_0Y150.pct,5535,[b],[b],150,True
44,19,R2_3_4_2_90Y50.pct,3314,[n],[n],50,True
44,20,2_3_4_2_90Y50.pct,4453,[b],[b],50,True
44,21,R2_4_4_2_180Y100.pct,5443,[n],[n],100,True
44,22,R2_4_4_2_0Y0.pct,3845,[b],[n],0,False
44,23,3_4_3_2_90Y0.pct,5173,[b],[b],0,True
44,24,R3_3_3_2_0Y150.pct,N/A,[N/A],[n],150,False
44,25,R3_4_4_3_180Y150.pct,7186,[n],[n],150,True
44,26,R3_4_3_3_180Y50.pct,6914,[n],[n],50,True
44,27,3_4_3_3_180Y50.pct,5334,[b],[b],50,True
44,28,3_3_3_3_90Y100.pct,6676,[b],[b],100,True
44,29,2_4_4_2_180Y0.pct,3017,[b],[b],0,True
44,30,R3_4_3_2_90Y0.pct,1957,[n],[n],0,True
44,31,3_3_4_2_0Y150.pct,7466,[n],[b],150,False
44,32,R3_3_4_2_0Y100.pct,3732,[n],[n],100,True
44,33,3_3_3_3_180Y50.pct,4601,[b],[b],50,True
44,34,3_3_4_2_0Y100.pct,5389,[b],[b],100,True
44,35,3_4_4_3_180Y150.pct,5496,[b],[b],150,True
44,36,R3_3_3_3_180Y0.pct,1995,[n],[n],0,True
44,37,3_4_3_3_180Y100.pct,4315,[b],[b],100,True
44,38,R3_3_3_3_180Y150.pct,5216,[b],[n],150,False
44,39,3_4_3_3_180Y0.pct,5397,[b],[b],0,True
44,40,R3_3_3_3_90Y50.pct,4877,[n],[n],50,True
44,41,2_4_4_3_90Y150.pct,N/A,[N/A],[b],150,False
44,42,R3_4_3_3_180Y0.pct,3677,[n],[n],0,True
44,43,3_3_3_3_180Y100.pct,3613,[b],[b],100,True
44,44,R2_3_4_2_90Y150.pct,2583,[b],[n],150,False
44,45,R2_3_3_2_0Y50.pct,4205,[n],[n],50,True
44,46,R2_3_4_2_90Y100.pct,6776,[n],[n],100,True
44,47,3_4_4_3_180Y0.pct,3050,[b],[b],0,True
44,48,3_4_4_3_180Y50.pct,3661,[b],[b],50,True
44,49,R2_4_4_2_0Y100.pct,6597,[n],[n],100,True
44,50,R2_3_3_2_0Y150.pct,3167,[b],[n],150,False
44,51,3_3_4_2_0Y0.pct,2331,[b],[b],0,True
44,52,R2_4_4_3_90Y0.pct,1759,[n],[n],0,True
44,53,3_4_4_3_180Y100.pct,6476,[b],[b],100,True
44,54,R2_4_4_2_180Y50.pct,1365,[n],[n],50,True
44,55,3_3_3_2_0Y150.pct,5136,[b],[b],150,True
44,56,2_4_4_2_0Y50.pct,2262,[b],[b],50,True
44,57,R2_4_4_2_0Y150.pct,5479,[n],[n],150,True
44,58,R3_4_3_2_90Y100.pct,4447,[n],[n],100,True
44,59,2_3_4_2_90Y150.pct,3624,[b],[b],150,True
44,60,3_4_3_2_90Y100.pct,3880,[b],[b],100,True
44,61,2_4_4_3_90Y0.pct,1449,[b],[b],0,True
44,62,R2_4_4_2_180Y0.pct,1785,[n],[n],0,True
44,63,R2_4_4_3_90Y50.pct,5555,[n],[n],50,True
44,64,2_4_4_3_90Y50.pct,6034,[b],[b],50,True
44,65,R2_4_4_2_180Y150.pct,6723,[n],[n],150,True
44,66,3_3_3_3_90Y0.pct,2675,[b],[b],0,True
44,67,3_3_3_3_180Y150.pct,2537,[b],[b],150,True
44,68,R3_3_3_3_90Y0.pct,4960,[n],[n],0,True
44,69,R3_3_3_2_0Y50.pct,N/A,[N/A],[n],50,False
44,70,2_4_4_2_180Y50.pct,5170,[b],[b],50,True
44,71,2_4_4_2_0Y100.pct,4791,[b],[b],100,True
44,72,R3_3_3_2_0Y100.pct,5420,[n],[n],100,True
44,73,2_3_4_2_90Y100.pct,2689,[b],[b],100,True
44,74,R3_3_3_3_180Y100.pct,3553,[n],[n],100,True
44,75,3_3_3_3_90Y150.pct,2568,[b],[b],150,True
44,76,R3_3_4_2_0Y0.pct,3293,[n],[n],0,True
44,77,3_3_3_2_0Y0.pct,4637,[b],[b],0,True
44,78,3_3_3_2_0Y50.pct,5660,[b],[b],50,True
44,79,R3_3_3_3_180Y50.pct,4167,[n],[n],50,True
44,80,R3_3_3_3_90Y150.pct,6722,[b],[n],150,False
44,81,R3_4_4_3_180Y50.pct,5290,[n],[n],50,True
44,82,2_3_4_2_90Y0.pct,1150,[b],[b],0,True
44,83,R3_3_4_2_0Y150.pct,6646,[n],[n],150,True
44,84,3_3_4_2_0Y50.pct,1830,[b],[b],50,True
44,85,2_4_4_2_180Y100.pct,3247,[b],[b],100,True
44,86,R3_4_4_3_180Y0.pct,2305,[n],[n],0,True
44,87,3_4_3_3_180Y150.pct,4758,[b],[b],150,True
44,88,R3_4_4_3_180Y100.pct,4876,[n],[n],100,True
44,89,R2_3_3_2_0Y100.pct,5161,[n],[n],100,True
44,90,2_3_3_2_0Y50.pct,1390,[b],[b],50,True
44,91,2_4_4_2_0Y0.pct,1953,[b],[b],0,True
44,92,3_4_3_2_90Y150.pct,3245,[b],[b],150,True
44,93,R2_4_4_3_90Y150.pct,4951,[n],[n],150,True
44,94,R3_4_3_2_90Y50.pct,3251,[n],[n],50,True
44,95,2_3_3_2_0Y100.pct,2688,[b],[b],100,True
44,96,R3_3_3_2_0Y0.pct,4735,[b],[n],0,False
