Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
18,1,R2_3_3_2_0Y0.pct,4567,[n],[n],0,True
18,2,R3_4_3_2_90Y150.pct,5246,[n],[n],150,True
18,3,2_4_4_2_0Y150.pct,4245,[b],[b],150,True
18,4,3_3_3_2_0Y100.pct,N/A,[N/A],[b],100,False
18,5,3_3_3_3_90Y50.pct,3330,[b],[b],50,True
18,6,R2_4_4_2_0Y50.pct,4149,[n],[n],50,True
18,7,R3_3_3_3_90Y100.pct,5204,[n],[n],100,True
18,8,2_3_3_2_0Y0.pct,2053,[b],[b],0,True
18,9,R3_4_3_3_180Y150.pct,6096,[n],[n],150,True
18,10,2_4_4_2_180Y150.pct,4040,[b],[b],150,True
18,11,R3_3_4_2_0Y50.pct,6200,[n],[n],50,True
18,12,R2_3_4_2_90Y0.pct,3390,[n],[n],0,True
18,13,3_3_3_3_180Y0.pct,1526,[b],[b],0,True
18,14,R3_4_3_3_180Y100.pct,6317,[n],[n],100,True
18,15,2_4_4_3_90Y100.pct,6700,[n],[b],100,False
18,16,3_4_3_2_90Y50.pct,2691,[n],[b],50,False
18,17,R2_4_4_3_90Y100.pct,5274,[n],[n],100,True
18,18,2_3_3_2_0Y150.pct,5795,[b],[b],150,True
18,19,R2_3_4_2_90Y50.pct,6656,[n],[n],50,True
18,20,2_3_4_2_90Y50.pct,4448,[b],[b],50,True
18,21,R2_4_4_2_180Y100.pct,3902,[n],[n],100,True
18,22,R2_4_4_2_0Y0.pct,2653,[b],[n],0,False
18,23,3_4_3_2_90Y0.pct,2451,[b],[b],0,True
18,24,R3_3_3_2_0Y150.pct,5696,[b],[n],150,False
18,25,R3_4_4_3_180Y150.pct,3757,[n],[n],150,True
18,26,R3_4_3_3_180Y50.pct,3410,[n],[n],50,True
18,27,3_4_3_3_180Y50.pct,3877,[b],[b],50,True
18,28,3_3_3_3_90Y100.pct,5754,[b],[b],100,True
18,29,2_4_4_2_180Y0.pct,1855,[b],[b],0,True
18,30,R3_4_3_2_90Y0.pct,7201,[n],[n],0,True
18,31,3_3_4_2_0Y150.pct,4812,[b],[b],150,True
18,32,R3_3_4_2_0Y100.pct,4817,[n],[n],100,True
18,33,3_3_3_3_180Y50.pct,6411,[b],[b],50,True
18,34,3_3_4_2_0Y100.pct,4830,[n],[b],100,False
18,35,3_4_4_3_180Y150.pct,5208,[b],[b],150,True
18,36,R3_3_3_3_180Y0.pct,2202,[n],[n],0,True
18,37,3_4_3_3_180Y100.pct,4678,[n],[b],100,False
18,38,R3_3_3_3_180Y150.pct,N/A,[N/A],[n],150,False
18,39,3_4_3_3_180Y0.pct,1998,[b],[b],0,True
18,40,R3_3_3_3_90Y50.pct,1966,[n],[n],50,True
18,41,2_4_4_3_90Y150.pct,5667,[b],[b],150,True
18,42,R3_4_3_3_180Y0.pct,3485,[n],[n],0,True
18,43,3_3_3_3_180Y100.pct,4498,[b],[b],100,True
18,44,R2_3_4_2_90Y150.pct,N/A,[N/A],[n],150,False
18,45,R2_3_3_2_0Y50.pct,18,[b],[n],50,False
18,46,R2_3_4_2_90Y100.pct,3352,[n],[n],100,True
18,47,3_4_4_3_180Y0.pct,1690,[b],[b],0,True
18,48,3_4_4_3_180Y50.pct,4015,[b],[b],50,True
18,49,R2_4_4_2_0Y100.pct,5102,[n],[n],100,True
18,50,R2_3_3_2_0Y150.pct,6096,[b],[n],150,False
18,51,3_3_4_2_0Y0.pct,1725,[b],[b],0,True
18,52,R2_4_4_3_90Y0.pct,2443,[n],[n],0,True
18,53,3_4_4_3_180Y100.pct,5549,[b],[b],100,True
18,54,R2_4_4_2_180Y50.pct,2690,[n],[n],50,True
18,55,3_3_3_2_0Y150.pct,N/A,[N/A],[b],150,False
18,56,2_4_4_2_0Y50.pct,2601,[b],[b],50,True
18,57,R2_4_4_2_0Y150.pct,1268,[n],[n],150,True
18,58,R3_4_3_2_90Y100.pct,4229,[n],[n],100,True
18,59,2_3_4_2_90Y150.pct,4593,[b],[b],150,True
18,60,3_4_3_2_90Y100.pct,6090,[b],[b],100,True
18,61,2_4_4_3_90Y0.pct,1231,[b],[b],0,True
18,62,R2_4_4_2_180Y0.pct,2186,[n],[n],0,True
18,63,R2_4_4_3_90Y50.pct,2276,[n],[n],50,True
18,64,2_4_4_3_90Y50.pct,2387,[b],[b],50,True
18,65,R2_4_4_2_180Y150.pct,4073,[n],[n],150,True
18,66,3_3_3_3_90Y0.pct,2629,[b],[b],0,True
18,67,3_3_3_3_180Y150.pct,1438,[n],[b],150,False
18,68,R3_3_3_3_90Y0.pct,3075,[n],[n],0,True
18,69,R3_3_3_2_0Y50.pct,5308,[n],[n],50,True
18,70,2_4_4_2_180Y50.pct,1887,[b],[b],50,True
18,71,2_4_4_2_0Y100.pct,4852,[b],[b],100,True
18,72,R3_3_3_2_0Y100.pct,5353,[n],[n],100,True
18,73,2_3_4_2_90Y100.pct,4650,[b],[b],100,True
18,74,R3_3_3_3_180Y100.pct,2430,[n],[n],100,True
18,75,3_3_3_3_90Y150.pct,6696,[b],[b],150,True
18,76,R3_3_4_2_0Y0.pct,N/A,[N/A],[n],0,False
18,77,3_3_3_2_0Y0.pct,2682,[b],[b],0,True
18,78,3_3_3_2_0Y50.pct,3641,[b],[b],50,True
18,79,R3_3_3_3_180Y50.pct,4637,[n],[n],50,True
18,80,R3_3_3_3_90Y150.pct,7465,[n],[n],150,True
18,81,R3_4_4_3_180Y50.pct,6556,[b],[n],50,False
18,82,2_3_4_2_90Y0.pct,1569,[b],[b],0,True
18,83,R3_3_4_2_0Y150.pct,6205,[b],[n],150,False
18,84,3_3_4_2_0Y50.pct,2910,[b],[b],50,True
18,85,2_4_4_2_180Y100.pct,3878,[n],[b],100,False
18,86,R3_4_4_3_180Y0.pct,4397,[n],[n],0,True
18,87,3_4_3_3_180Y150.pct,4298,[n],[b],150,False
18,88,R3_4_4_3_180Y100.pct,1638,[n],[n],100,True
18,89,R2_3_3_2_0Y100.pct,4594,[n],[n],100,True
18,90,2_3_3_2_0Y50.pct,4117,[b],[b],50,True
18,91,2_4_4_2_0Y0.pct,1275,[b],[b],0,True
18,92,3_4_3_2_90Y150.pct,4888,[b],[b],150,True
18,93,R2_4_4_3_90Y150.pct,N/A,[N/A],[n],150,False
18,94,R3_4_3_2_90Y50.pct,4217,[n],[n],50,True
18,95,2_3_3_2_0Y100.pct,6014,[n],[b],100,False
18,96,R3_3_3_2_0Y0.pct,5758,[n],[n],0,True
