Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
7,1,R2_3_3_2_0Y0.pct,2727,[n],[n],0,True
7,2,R3_4_3_2_90Y150.pct,2556,[n],[n],150,True
7,3,2_4_4_2_0Y150.pct,1702,[b],[b],150,True
7,4,3_3_3_2_0Y100.pct,4219,[b],[b],100,True
7,5,3_3_3_3_90Y50.pct,2724,[b],[b],50,True
7,6,R2_4_4_2_0Y50.pct,4181,[n],[n],50,True
7,7,R3_3_3_3_90Y100.pct,5220,[n],[n],100,True
7,8,2_3_3_2_0Y0.pct,1777,[b],[b],0,True
7,9,R3_4_3_3_180Y150.pct,3210,[b],[n],150,False
7,10,2_4_4_2_180Y150.pct,5298,[b],[b],150,True
7,11,R3_3_4_2_0Y50.pct,6598,[n],[n],50,True
7,12,R2_3_4_2_90Y0.pct,2941,[n],[n],0,True
7,13,3_3_3_3_180Y0.pct,1796,[b],[b],0,True
7,14,R3_4_3_3_180Y100.pct,3564,[n],[n],100,True
7,15,2_4_4_3_90Y100.pct,3655,[b],[b],100,True
7,16,3_4_3_2_90Y50.pct,3061,[b],[b],50,True
7,17,R2_4_4_3_90Y100.pct,4297,[n],[n],100,True
7,18,2_3_3_2_0Y150.pct,2535,[b],[b],150,True
7,19,R2_3_4_2_90Y50.pct,4351,[n],[n],50,True
7,20,2_3_4_2_90Y50.pct,2556,[b],[b],50,True
7,21,R2_4_4_2_180Y100.pct,3295,[n],[n],100,True
7,22,R2_4_4_2_0Y0.pct,2902,[n],[n],0,True
7,23,3_4_3_2_90Y0.pct,2811,[b],[b],0,True
7,24,R3_3_3_2_0Y150.pct,3424,[n],[n],150,True
7,25,R3_4_4_3_180Y150.pct,3065,[n],[n],150,True
7,26,R3_4_3_3_180Y50.pct,3778,[n],[n],50,True
7,27,3_4_3_3_180Y50.pct,2669,[b],[b],50,True
7,28,3_3_3_3_90Y100.pct,2990,[b],[b],100,True
7,29,2_4_4_2_180Y0.pct,2829,[b],[b],0,True
7,30,R3_4_3_2_90Y0.pct,2161,[n],[n],0,True
7,31,3_3_4_2_0Y150.pct,4594,[b],[b],150,True
7,32,R3_3_4_2_0Y100.pct,2593,[n],[n],100,True
7,33,3_3_3_3_180Y50.pct,2485,[b],[b],50,True
7,34,3_3_4_2_0Y100.pct,2189,[b],[b],100,True
7,35,3_4_4_3_180Y150.pct,3209,[n],[b],150,False
7,36,R3_3_3_3_180Y0.pct,2368,[n],[n],0,True
7,37,3_4_3_3_180Y100.pct,2161,[b],[b],100,True
7,38,R3_3_3_3_180Y150.pct,3113,[n],[n],150,True
7,39,3_4_3_3_180Y0.pct,1503,[b],[b],0,True
7,40,R3_3_3_3_90Y50.pct,2104,[n],[n],50,True
7,41,2_4_4_3_90Y150.pct,4987,[b],[b],150,True
7,42,R3_4_3_3_180Y0.pct,1448,[n],[n],0,True
7,43,3_3_3_3_180Y100.pct,2001,[b],[b],100,True
7,44,R2_3_4_2_90Y150.pct,1804,[n],[n],150,True
7,45,R2_3_3_2_0Y50.pct,2159,[n],[n],50,True
7,46,R2_3_4_2_90Y100.pct,1819,[n],[n],100,True
7,47,3_4_4_3_180Y0.pct,1279,[b],[b],0,True
7,48,3_4_4_3_180Y50.pct,3961,[b],[b],50,True
7,49,R2_4_4_2_0Y100.pct,3355,[n],[n],100,True
7,50,R2_3_3_2_0Y150.pct,2116,[n],[n],150,True
7,51,3_3_4_2_0Y0.pct,1794,[b],[b],0,True
7,52,R2_4_4_3_90Y0.pct,1555,[n],[n],0,True
7,53,3_4_4_3_180Y100.pct,2625,[b],[b],100,True
7,54,R2_4_4_2_180Y50.pct,1816,[n],[n],50,True
7,55,3_3_3_2_0Y150.pct,3857,[b],[b],150,True
7,56,2_4_4_2_0Y50.pct,2093,[b],[b],50,True
7,57,R2_4_4_2_0Y150.pct,2059,[n],[n],150,True
7,58,R3_4_3_2_90Y100.pct,2707,[n],[n],100,True
7,59,2_3_4_2_90Y150.pct,2307,[b],[b],150,True
7,60,3_4_3_2_90Y100.pct,2272,[b],[b],100,True
7,61,2_4_4_3_90Y0.pct,1077,[b],[b],0,True
7,62,R2_4_4_2_180Y0.pct,3104,[n],[n],0,True
7,63,R2_4_4_3_90Y50.pct,2486,[n],[n],50,True
7,64,2_4_4_3_90Y50.pct,2484,[b],[b],50,True
7,65,R2_4_4_2_180Y150.pct,2562,[n],[n],150,True
7,66,3_3_3_3_90Y0.pct,1248,[b],[b],0,True
7,67,3_3_3_3_180Y150.pct,2073,[b],[b],150,True
7,68,R3_3_3_3_90Y0.pct,1857,[n],[n],0,True
7,69,R3_3_3_2_0Y50.pct,2146,[n],[n],50,True
7,70,2_4_4_2_180Y50.pct,1372,[b],[b],50,True
7,71,2_4_4_2_0Y100.pct,2219,[b],[b],100,True
7,72,R3_3_3_2_0Y100.pct,2924,[n],[n],100,True
7,73,2_3_4_2_90Y100.pct,1938,[b],[b],100,True
7,74,R3_3_3_3_180Y100.pct,2062,[n],[n],100,True
7,75,3_3_3_3_90Y150.pct,1999,[b],[b],150,True
7,76,R3_3_4_2_0Y0.pct,2810,[n],[n],0,True
7,77,3_3_3_2_0Y0.pct,1925,[b],[b],0,True
7,78,3_3_3_2_0Y50.pct,4436,[n],[b],50,False
7,79,R3_3_3_3_180Y50.pct,2993,[n],[n],50,True
7,80,R3_3_3_3_90Y150.pct,4629,[n],[n],150,True
7,81,R3_4_4_3_180Y50.pct,4295,[n],[n],50,True
7,82,2_3_4_2_90Y0.pct,1457,[b],[b],0,True
7,83,R3_3_4_2_0Y150.pct,3698,[n],[n],150,True
7,84,3_3_4_2_0Y50.pct,3472,[b],[b],50,True
7,85,2_4_4_2_180Y100.pct,2708,[b],[b],100,True
7,86,R3_4_4_3_180Y0.pct,1766,[n],[n],0,True
7,87,3_4_3_3_180Y150.pct,4220,[b],[b],150,True
7,88,R3_4_4_3_180Y100.pct,4068,[n],[n],100,True
7,89,R2_3_3_2_0Y100.pct,1940,[n],[n],100,True
7,90,2_3_3_2_0Y50.pct,2138,[b],[b],50,True
7,91,2_4_4_2_0Y0.pct,1539,[b],[b],0,True
7,92,3_4_3_2_90Y150.pct,3116,[b],[b],150,True
7,93,R2_4_4_3_90Y150.pct,2181,[n],[n],150,True
7,94,R3_4_3_2_90Y50.pct,1981,[n],[n],50,True
7,95,2_3_3_2_0Y100.pct,2610,[b],[b],100,True
