Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
40,1,R2_3_3_2_0Y0.pct,2165,[n],[n],0,True
40,2,R3_4_3_2_90Y150.pct,4028,[n],[n],150,True
40,3,2_4_4_2_0Y150.pct,3911,[b],[b],150,True
40,4,3_3_3_2_0Y100.pct,6650,[b],[b],100,True
40,5,3_3_3_3_90Y50.pct,3081,[b],[b],50,True
40,6,R2_4_4_2_0Y50.pct,4584,[n],[n],50,True
40,7,R3_3_3_3_90Y100.pct,4118,[n],[n],100,True
40,8,2_3_3_2_0Y0.pct,2539,[b],[b],0,True
40,9,R3_4_3_3_180Y150.pct,4424,[n],[n],150,True
40,10,2_4_4_2_180Y150.pct,N/A,[N/A],[b],150,False
40,11,R3_3_4_2_0Y50.pct,3083,[n],[n],50,True
40,12,R2_3_4_2_90Y0.pct,1852,[n],[n],0,True
40,13,3_3_3_3_180Y0.pct,2004,[b],[b],0,True
40,14,R3_4_3_3_180Y100.pct,2063,[n],[n],100,True
40,15,2_4_4_3_90Y100.pct,3558,[b],[b],100,True
40,16,3_4_3_2_90Y50.pct,2348,[b],[b],50,True
40,17,R2_4_4_3_90Y100.pct,3890,[n],[n],100,True
40,18,2_3_3_2_0Y150.pct,3210,[b],[b],150,True
40,19,R2_3_4_2_90Y50.pct,2124,[n],[n],50,True
40,20,2_3_4_2_90Y50.pct,2514,[b],[b],50,True
40,21,R2_4_4_2_180Y100.pct,2015,[n],[n],100,True
40,22,R2_4_4_2_0Y0.pct,2553,[n],[n],0,True
40,23,3_4_3_2_90Y0.pct,3188,[b],[b],0,True
40,24,R3_3_3_2_0Y150.pct,3009,[n],[n],150,True
40,25,R3_4_4_3_180Y150.pct,3257,[n],[n],150,True
40,26,R3_4_3_3_180Y50.pct,2797,[n],[n],50,True
40,27,3_4_3_3_180Y50.pct,4320,[b],[b],50,True
40,28,3_3_3_3_90Y100.pct,4888,[b],[b],100,True
40,29,2_4_4_2_180Y0.pct,2037,[b],[b],0,True
40,30,R3_4_3_2_90Y0.pct,3990,[n],[n],0,True
40,31,3_3_4_2_0Y150.pct,4549,[n],[b],150,False
40,32,R3_3_4_2_0Y100.pct,4848,[n],[n],100,True
40,33,3_3_3_3_180Y50.pct,2966,[b],[b],50,True
40,34,3_3_4_2_0Y100.pct,6631,[b],[b],100,True
40,35,3_4_4_3_180Y150.pct,6713,[b],[b],150,True
40,36,R3_3_3_3_180Y0.pct,2182,[n],[n],0,True
40,37,3_4_3_3_180Y100.pct,3812,[b],[b],100,True
40,38,R3_3_3_3_180Y150.pct,5613,[n],[n],150,True
40,39,3_4_3_3_180Y0.pct,1680,[b],[b],0,True
40,40,R3_3_3_3_90Y50.pct,3701,[n],[n],50,True
40,41,2_4_4_3_90Y150.pct,5292,[b],[b],150,True
40,42,R3_4_3_3_180Y0.pct,2300,[n],[n],0,True
