Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
13,1,R2_3_3_2_0Y0.pct,1606,[n],[n],0,True
13,2,R3_4_3_2_90Y150.pct,2427,[n],[n],150,True
13,3,2_4_4_2_0Y150.pct,1109,[b],[b],150,True
13,4,3_3_3_2_0Y100.pct,1900,[b],[b],100,True
13,5,3_3_3_3_90Y50.pct,1098,[b],[b],50,True
13,6,R2_4_4_2_0Y50.pct,1496,[n],[n],50,True
13,7,R3_3_3_3_90Y100.pct,1553,[b],[n],100,False
13,8,2_3_3_2_0Y0.pct,970,[b],[b],0,True
13,9,R3_4_3_3_180Y150.pct,3402,[n],[n],150,True
13,10,2_4_4_2_180Y150.pct,2196,[n],[b],150,False
13,11,R3_3_4_2_0Y50.pct,2350,[n],[n],50,True
13,12,R2_3_4_2_90Y0.pct,996,[n],[n],0,True
13,13,3_3_3_3_180Y0.pct,615,[b],[b],0,True
13,14,R3_4_3_3_180Y100.pct,4115,[n],[n],100,True
13,15,2_4_4_3_90Y100.pct,902,[b],[b],100,True
13,16,3_4_3_2_90Y50.pct,1734,[b],[b],50,True
13,17,R2_4_4_3_90Y100.pct,1132,[n],[n],100,True
13,18,2_3_3_2_0Y150.pct,1108,[b],[b],150,True
13,19,R2_3_4_2_90Y50.pct,1345,[n],[n],50,True
13,20,2_3_4_2_90Y50.pct,1092,[b],[b],50,True
13,21,R2_4_4_2_180Y100.pct,1397,[n],[n],100,True
13,22,R2_4_4_2_0Y0.pct,1224,[n],[n],0,True
13,23,3_4_3_2_90Y0.pct,662,[b],[b],0,True
13,24,R3_3_3_2_0Y150.pct,4073,[n],[n],150,True
13,25,R3_4_4_3_180Y150.pct,2885,[n],[n],150,True
13,26,R3_4_3_3_180Y50.pct,1212,[n],[n],50,True
13,27,3_4_3_3_180Y50.pct,2961,[b],[b],50,True
13,28,3_3_3_3_90Y100.pct,1941,[b],[b],100,True
13,29,2_4_4_2_180Y0.pct,646,[b],[b],0,True
13,30,R3_4_3_2_90Y0.pct,705,[n],[n],0,True
13,31,3_3_4_2_0Y150.pct,4399,[n],[b],150,False
13,32,R3_3_4_2_0Y100.pct,1939,[n],[n],100,True
13,33,3_3_3_3_180Y50.pct,1655,[b],[b],50,True
13,34,3_3_4_2_0Y100.pct,1648,[b],[b],100,True
13,35,3_4_4_3_180Y150.pct,3991,[b],[b],150,True
13,36,R3_3_3_3_180Y0.pct,709,[n],[n],0,True
13,37,3_4_3_3_180Y100.pct,1906,[b],[b],100,True
13,38,R3_3_3_3_180Y150.pct,1776,[n],[n],150,True
13,39,3_4_3_3_180Y0.pct,660,[b],[b],0,True
13,40,R3_3_3_3_90Y50.pct,769,[n],[n],50,True
13,41,2_4_4_3_90Y150.pct,1545,[b],[b],150,True
13,42,R3_4_3_3_180Y0.pct,909,[n],[n],0,True
13,43,3_3_3_3_180Y100.pct,1026,[b],[b],100,True
13,44,R2_3_4_2_90Y150.pct,1645,[n],[n],150,True
13,45,R2_3_3_2_0Y50.pct,942,[n],[n],50,True
13,46,R2_3_4_2_90Y100.pct,981,[n],[n],100,True
13,47,3_4_4_3_180Y0.pct,753,[b],[b],0,True
13,48,3_4_4_3_180Y50.pct,633,[b],[b],50,True
13,49,R2_4_4_2_0Y100.pct,1367,[n],[n],100,True
13,50,R2_3_3_2_0Y150.pct,1444,[n],[n],150,True
13,51,3_3_4_2_0Y0.pct,1772,[b],[b],0,True
13,52,R2_4_4_3_90Y0.pct,743,[n],[n],0,True
13,53,3_4_4_3_180Y100.pct,3296,[b],[b],100,True
13,54,R2_4_4_2_180Y50.pct,714,[n],[n],50,True
13,55,3_3_3_2_0Y150.pct,2869,[b],[b],150,True
13,56,2_4_4_2_0Y50.pct,674,[b],[b],50,True
13,57,R2_4_4_2_0Y150.pct,2146,[b],[n],150,False
13,58,R3_4_3_2_90Y100.pct,1469,[n],[n],100,True
13,59,2_3_4_2_90Y150.pct,1296,[b],[b],150,True
13,60,3_4_3_2_90Y100.pct,1606,[b],[b],100,True
13,61,2_4_4_3_90Y0.pct,767,[b],[b],0,True
13,62,R2_4_4_2_180Y0.pct,707,[n],[n],0,True
13,63,R2_4_4_3_90Y50.pct,1074,[n],[n],50,True
13,64,2_4_4_3_90Y50.pct,1209,[b],[b],50,True
13,65,R2_4_4_2_180Y150.pct,1421,[n],[n],150,True
13,66,3_3_3_3_90Y0.pct,733,[b],[b],0,True
13,67,3_3_3_3_180Y150.pct,1875,[b],[b],150,True
13,68,R3_3_3_3_90Y0.pct,640,[n],[n],0,True
13,69,R3_3_3_2_0Y50.pct,1166,[n],[n],50,True
13,70,2_4_4_2_180Y50.pct,808,[b],[b],50,True
13,71,2_4_4_2_0Y100.pct,1058,[b],[b],100,True
13,72,R3_3_3_2_0Y100.pct,2337,[n],[n],100,True
13,73,2_3_4_2_90Y100.pct,1087,[b],[b],100,True
13,74,R3_3_3_3_180Y100.pct,957,[n],[n],100,True
13,75,3_3_3_3_90Y150.pct,960,[b],[b],150,True
13,76,R3_3_4_2_0Y0.pct,1168,[n],[n],0,True
13,77,3_3_3_2_0Y0.pct,837,[b],[b],0,True
13,78,3_3_3_2_0Y50.pct,1107,[b],[b],50,True
13,79,R3_3_3_3_180Y50.pct,616,[n],[n],50,True
13,80,R3_3_3_3_90Y150.pct,1451,[n],[n],150,True
13,81,R3_4_4_3_180Y50.pct,2138,[b],[n],50,False
13,82,2_3_4_2_90Y0.pct,895,[b],[b],0,True
13,83,R3_3_4_2_0Y150.pct,2249,[n],[n],150,True
13,84,3_3_4_2_0Y50.pct,1129,[b],[b],50,True
13,85,2_4_4_2_180Y100.pct,1349,[b],[b],100,True
13,86,R3_4_4_3_180Y0.pct,872,[n],[n],0,True
13,87,3_4_3_3_180Y150.pct,2230,[b],[b],150,True
13,88,R3_4_4_3_180Y100.pct,2347,[n],[n],100,True
13,89,R2_3_3_2_0Y100.pct,1077,[n],[n],100,True
13,90,2_3_3_2_0Y50.pct,770,[b],[b],50,True
13,91,2_4_4_2_0Y0.pct,962,[b],[b],0,True
13,92,3_4_3_2_90Y150.pct,1242,[b],[b],150,True
13,93,R2_4_4_3_90Y150.pct,1352,[n],[n],150,True
13,94,R3_4_3_2_90Y50.pct,965,[n],[n],50,True
13,95,2_3_3_2_0Y100.pct,1129,[b],[b],100,True
13,96,R3_3_3_2_0Y0.pct,1541,[n],[n],0,True
