Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
15,1,R2_3_3_2_0Y0.pct,1764,[n],[n],0,True
15,2,R3_4_3_2_90Y150.pct,1998,[n],[n],150,True
15,3,2_4_4_2_0Y150.pct,2377,[b],[b],150,True
15,4,3_3_3_2_0Y100.pct,4865,[b],[b],100,True
15,5,3_3_3_3_90Y50.pct,3612,[b],[b],50,True
15,6,R2_4_4_2_0Y50.pct,1884,[n],[n],50,True
15,7,R3_3_3_3_90Y100.pct,2830,[b],[n],100,False
15,8,2_3_3_2_0Y0.pct,1526,[b],[b],0,True
15,9,R3_4_3_3_180Y150.pct,2940,[n],[n],150,True
15,10,2_4_4_2_180Y150.pct,3888,[b],[b],150,True
15,11,R3_3_4_2_0Y50.pct,N/A,[N/A],[n],50,False
15,12,R2_3_4_2_90Y0.pct,2554,[n],[n],0,True
15,13,3_3_3_3_180Y0.pct,1524,[b],[b],0,True
15,14,R3_4_3_3_180Y100.pct,3677,[n],[n],100,True
15,15,2_4_4_3_90Y100.pct,1771,[b],[b],100,True
15,16,3_4_3_2_90Y50.pct,2375,[b],[b],50,True
15,17,R2_4_4_3_90Y100.pct,2115,[n],[n],100,True
15,18,2_3_3_2_0Y150.pct,2472,[b],[b],150,True
15,19,R2_3_4_2_90Y50.pct,2234,[n],[n],50,True
15,20,2_3_4_2_90Y50.pct,1884,[b],[b],50,True
15,21,R2_4_4_2_180Y100.pct,2323,[n],[n],100,True
15,22,R2_4_4_2_0Y0.pct,3417,[n],[n],0,True
15,23,3_4_3_2_90Y0.pct,1440,[b],[b],0,True
15,24,R3_3_3_2_0Y150.pct,3749,[n],[n],150,True
15,25,R3_4_4_3_180Y150.pct,2527,[n],[n],150,True
15,26,R3_4_3_3_180Y50.pct,2445,[n],[n],50,True
15,27,3_4_3_3_180Y50.pct,1971,[b],[b],50,True
15,28,3_3_3_3_90Y100.pct,3757,[b],[b],100,True
15,29,2_4_4_2_180Y0.pct,1498,[b],[b],0,True
15,30,R3_4_3_2_90Y0.pct,1735,[n],[n],0,True
15,31,3_3_4_2_0Y150.pct,4407,[b],[b],150,True
15,32,R3_3_4_2_0Y100.pct,1651,[n],[n],100,True
15,33,3_3_3_3_180Y50.pct,1858,[b],[b],50,True
15,34,3_3_4_2_0Y100.pct,2339,[b],[b],100,True
15,35,3_4_4_3_180Y150.pct,3370,[b],[b],150,True
15,36,R3_3_3_3_180Y0.pct,1431,[n],[n],0,True
15,37,3_4_3_3_180Y100.pct,2127,[b],[b],100,True
15,38,R3_3_3_3_180Y150.pct,2539,[n],[n],150,True
15,39,3_4_3_3_180Y0.pct,1408,[b],[b],0,True
15,40,R3_3_3_3_90Y50.pct,1956,[n],[n],50,True
15,41,2_4_4_3_90Y150.pct,2280,[b],[b],150,True
15,42,R3_4_3_3_180Y0.pct,3423,[n],[n],0,True
15,43,3_3_3_3_180Y100.pct,3050,[b],[b],100,True
15,44,R2_3_4_2_90Y150.pct,1517,[b],[n],150,False
15,45,R2_3_3_2_0Y50.pct,1595,[n],[n],50,True
15,46,R2_3_4_2_90Y100.pct,4173,[n],[n],100,True
15,47,3_4_4_3_180Y0.pct,1040,[b],[b],0,True
15,48,3_4_4_3_180Y50.pct,1802,[b],[b],50,True
15,49,R2_4_4_2_0Y100.pct,1716,[n],[n],100,True
15,50,R2_3_3_2_0Y150.pct,3007,[n],[n],150,True
15,51,3_3_4_2_0Y0.pct,1263,[b],[b],0,True
15,52,R2_4_4_3_90Y0.pct,1160,[n],[n],0,True
15,53,3_4_4_3_180Y100.pct,1680,[n],[b],100,False
15,54,R2_4_4_2_180Y50.pct,1339,[n],[n],50,True
15,55,3_3_3_2_0Y150.pct,4146,[b],[b],150,True
15,56,2_4_4_2_0Y50.pct,1070,[b],[b],50,True
15,57,R2_4_4_2_0Y150.pct,2062,[n],[n],150,True
15,58,R3_4_3_2_90Y100.pct,2919,[n],[n],100,True
15,59,2_3_4_2_90Y150.pct,1477,[b],[b],150,True
15,60,3_4_3_2_90Y100.pct,3437,[b],[b],100,True
15,61,2_4_4_3_90Y0.pct,1037,[b],[b],0,True
15,62,R2_4_4_2_180Y0.pct,2047,[n],[n],0,True
15,63,R2_4_4_3_90Y50.pct,1791,[n],[n],50,True
15,64,2_4_4_3_90Y50.pct,1363,[b],[b],50,True
15,65,R2_4_4_2_180Y150.pct,2064,[n],[n],150,True
15,66,3_3_3_3_90Y0.pct,1200,[b],[b],0,True
15,67,3_3_3_3_180Y150.pct,2026,[b],[b],150,True
15,68,R3_3_3_3_90Y0.pct,1667,[n],[n],0,True
15,69,R3_3_3_2_0Y50.pct,1446,[n],[n],50,True
15,70,2_4_4_2_180Y50.pct,901,[b],[b],50,True
15,71,2_4_4_2_0Y100.pct,1460,[b],[b],100,True
15,72,R3_3_3_2_0Y100.pct,4853,[n],[n],100,True
15,73,2_3_4_2_90Y100.pct,1752,[b],[b],100,True
15,74,R3_3_3_3_180Y100.pct,1561,[n],[n],100,True
15,75,3_3_3_3_90Y150.pct,2841,[b],[b],150,True
15,76,R3_3_4_2_0Y0.pct,3062,[n],[n],0,True
15,77,3_3_3_2_0Y0.pct,1577,[b],[b],0,True
15,78,3_3_3_2_0Y50.pct,5429,[b],[b],50,True
15,79,R3_3_3_3_180Y50.pct,1493,[n],[n],50,True
15,80,R3_3_3_3_90Y150.pct,2324,[b],[n],150,False
15,81,R3_4_4_3_180Y50.pct,2370,[b],[n],50,False
15,82,2_3_4_2_90Y0.pct,1727,[b],[b],0,True
15,83,R3_3_4_2_0Y150.pct,2525,[n],[n],150,True
15,84,3_3_4_2_0Y50.pct,1305,[b],[b],50,True
15,85,2_4_4_2_180Y100.pct,1767,[b],[b],100,True
15,86,R3_4_4_3_180Y0.pct,4213,[n],[n],0,True
15,87,3_4_3_3_180Y150.pct,3191,[b],[b],150,True
15,88,R3_4_4_3_180Y100.pct,3115,[n],[n],100,True
15,89,R2_3_3_2_0Y100.pct,3291,[n],[n],100,True
15,90,2_3_3_2_0Y50.pct,1296,[b],[b],50,True
15,91,2_4_4_2_0Y0.pct,839,[b],[b],0,True
15,92,3_4_3_2_90Y150.pct,3512,[n],[b],150,False
15,93,R2_4_4_3_90Y150.pct,4780,[n],[n],150,True
15,94,R3_4_3_2_90Y50.pct,1233,[n],[n],50,True
15,95,2_3_3_2_0Y100.pct,1318,[b],[b],100,True
15,96,R3_3_3_2_0Y0.pct,3019,[n],[n],0,True
