Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
3,1,R2_3_3_2_0Y0.pct,1394,[n],[n],0,True
3,2,R3_4_3_2_90Y150.pct,2499,[n],[n],150,True
3,3,2_4_4_2_0Y150.pct,2026,[b],[b],150,True
3,4,3_3_3_2_0Y100.pct,3996,[b],[b],100,True
3,5,3_3_3_3_90Y50.pct,2062,[b],[b],50,True
3,6,R2_4_4_2_0Y50.pct,1598,[n],[n],50,True
3,7,R3_3_3_3_90Y100.pct,4838,[b],[n],100,False
3,8,2_3_3_2_0Y0.pct,1378,[b],[b],0,True
3,9,R3_4_3_3_180Y150.pct,2814,[n],[n],150,True
3,10,2_4_4_2_180Y150.pct,2601,[b],[b],150,True
3,11,R3_3_4_2_0Y50.pct,2099,[n],[n],50,True
3,12,R2_3_4_2_90Y0.pct,1780,[n],[n],0,True
3,13,3_3_3_3_180Y0.pct,1102,[b],[b],0,True
3,14,R3_4_3_3_180Y100.pct,2908,[n],[n],100,True
3,15,2_4_4_3_90Y100.pct,1730,[b],[b],100,True
3,16,3_4_3_2_90Y50.pct,2425,[b],[b],50,True
3,17,R2_4_4_3_90Y100.pct,1987,[n],[n],100,True
3,18,2_3_3_2_0Y150.pct,2006,[b],[b],150,True
3,19,R2_3_4_2_90Y50.pct,1513,[n],[n],50,True
3,20,2_3_4_2_90Y50.pct,1391,[b],[b],50,True
3,21,R2_4_4_2_180Y100.pct,2161,[n],[n],100,True
3,22,R2_4_4_2_0Y0.pct,1238,[b],[n],0,False
3,23,3_4_3_2_90Y0.pct,1085,[b],[b],0,True
3,24,R3_3_3_2_0Y150.pct,4456,[n],[n],150,True
3,25,R3_4_4_3_180Y150.pct,4213,[n],[n],150,True
3,26,R3_4_3_3_180Y50.pct,2338,[n],[n],50,True
3,27,3_4_3_3_180Y50.pct,2246,[b],[b],50,True
3,28,3_3_3_3_90Y100.pct,6278,[n],[b],100,False
3,29,2_4_4_2_180Y0.pct,1172,[b],[b],0,True
3,30,R3_4_3_2_90Y0.pct,2101,[n],[n],0,True
3,31,3_3_4_2_0Y150.pct,4120,[b],[b],150,True
3,32,R3_3_4_2_0Y100.pct,4239,[n],[n],100,True
3,33,3_3_3_3_180Y50.pct,1374,[b],[b],50,True
3,34,3_3_4_2_0Y100.pct,3811,[n],[b],100,False
3,35,3_4_4_3_180Y150.pct,N/A,[N/A],[b],150,False
3,36,R3_3_3_3_180Y0.pct,61,[b],[n],0,False
3,37,3_4_3_3_180Y100.pct,3664,[n],[b],100,False
3,38,R3_3_3_3_180Y150.pct,1987,[n],[n],150,True
3,39,3_4_3_3_180Y0.pct,1114,[b],[b],0,True
3,40,R3_3_3_3_90Y50.pct,3161,[n],[n],50,True
3,41,2_4_4_3_90Y150.pct,2274,[b],[b],150,True
