Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
10,1,R2_3_3_2_0Y0.pct,4593,[n],[n],0,True
10,2,R3_4_3_2_90Y150.pct,5214,[n],[n],150,True
10,3,2_4_4_2_0Y150.pct,3745,[b],[b],150,True
10,4,3_3_3_2_0Y100.pct,N/A,[N/A],[b],100,False
10,5,3_3_3_3_90Y50.pct,3367,[n],[b],50,False
10,6,R2_4_4_2_0Y50.pct,3203,[n],[n],50,True
10,7,R3_3_3_3_90Y100.pct,6480,[n],[n],100,True
10,8,2_3_3_2_0Y0.pct,1331,[b],[b],0,True
10,9,R3_4_3_3_180Y150.pct,6014,[n],[n],150,True
10,10,2_4_4_2_180Y150.pct,3622,[n],[b],150,False
10,11,R3_3_4_2_0Y50.pct,4031,[n],[n],50,True
10,12,R2_3_4_2_90Y0.pct,1379,[n],[n],0,True
10,13,3_3_3_3_180Y0.pct,1812,[b],[b],0,True
10,14,R3_4_3_3_180Y100.pct,3465,[n],[n],100,True
10,15,2_4_4_3_90Y100.pct,5930,[b],[b],100,True
10,16,3_4_3_2_90Y50.pct,N/A,[N/A],[b],50,False
10,17,R2_4_4_3_90Y100.pct,117,[b],[n],100,False
10,18,2_3_3_2_0Y150.pct,2982,[n],[b],150,False
10,19,R2_3_4_2_90Y50.pct,1994,[n],[n],50,True
10,20,2_3_4_2_90Y50.pct,1578,[b],[b],50,True
10,21,R2_4_4_2_180Y100.pct,4534,[n],[n],100,True
10,22,R2_4_4_2_0Y0.pct,1380,[n],[n],0,True
10,23,3_4_3_2_90Y0.pct,1687,[b],[b],0,True
10,24,R3_3_3_2_0Y150.pct,2509,[n],[n],150,True
10,25,R3_4_4_3_180Y150.pct,2556,[n],[n],150,True
10,26,R3_4_3_3_180Y50.pct,5280,[n],[n],50,True
10,27,3_4_3_3_180Y50.pct,N/A,[N/A],[b],50,False
10,28,3_3_3_3_90Y100.pct,3946,[n],[b],100,False
10,29,2_4_4_2_180Y0.pct,1000,[b],[b],0,True
10,30,R3_4_3_2_90Y0.pct,1686,[n],[n],0,True
10,31,3_3_4_2_0Y150.pct,3598,[n],[b],150,False
10,32,R3_3_4_2_0Y100.pct,4577,[n],[n],100,True
10,33,3_3_3_3_180Y50.pct,3717,[b],[b],50,True
10,34,3_3_4_2_0Y100.pct,6542,[n],[b],100,False
10,35,3_4_4_3_180Y150.pct,6042,[n],[b],150,False
10,36,R3_3_3_3_180Y0.pct,1827,[n],[n],0,True
10,37,3_4_3_3_180Y100.pct,4686,[b],[b],100,True
10,38,R3_3_3_3_180Y150.pct,5282,[b],[n],150,False
10,39,3_4_3_3_180Y0.pct,1357,[b],[b],0,True
10,40,R3_3_3_3_90Y50.pct,4601,[n],[n],50,True
10,41,2_4_4_3_90Y150.pct,3516,[b],[b],150,True
10,42,R3_4_3_3_180Y0.pct,3220,[n],[n],0,True
10,43,3_3_3_3_180Y100.pct,7454,[b],[b],100,True
10,44,R2_3_4_2_90Y150.pct,5791,[b],[n],150,False
10,45,R2_3_3_2_0Y50.pct,1692,[n],[n],50,True
10,46,R2_3_4_2_90Y100.pct,4066,[n],[n],100,True
10,47,3_4_4_3_180Y0.pct,1034,[b],[b],0,True
10,48,3_4_4_3_180Y50.pct,2836,[b],[b],50,True
10,49,R2_4_4_2_0Y100.pct,1924,[n],[n],100,True
10,50,R2_3_3_2_0Y150.pct,4835,[n],[n],150,True
10,51,3_3_4_2_0Y0.pct,932,[b],[b],0,True
10,52,R2_4_4_3_90Y0.pct,1762,[n],[n],0,True
10,53,3_4_4_3_180Y100.pct,5567,[n],[b],100,False
10,54,R2_4_4_2_180Y50.pct,1586,[n],[n],50,True
10,55,3_3_3_2_0Y150.pct,4095,[n],[b],150,False
10,56,2_4_4_2_0Y50.pct,1718,[b],[b],50,True
10,57,R2_4_4_2_0Y150.pct,2122,[n],[n],150,True
10,58,R3_4_3_2_90Y100.pct,6337,[n],[n],100,True
10,59,2_3_4_2_90Y150.pct,4381,[b],[b],150,True
10,60,3_4_3_2_90Y100.pct,6980,[n],[b],100,False
10,61,2_4_4_3_90Y0.pct,1055,[b],[b],0,True
10,62,R2_4_4_2_180Y0.pct,1632,[n],[n],0,True
10,63,R2_4_4_3_90Y50.pct,1536,[n],[n],50,True
10,64,2_4_4_3_90Y50.pct,1836,[b],[b],50,True
10,65,R2_4_4_2_180Y150.pct,2694,[n],[n],150,True
10,66,3_3_3_3_90Y0.pct,1539,[b],[b],0,True
10,67,3_3_3_3_180Y150.pct,N/A,[N/A],[b],150,False
10,68,R3_3_3_3_90Y0.pct,2467,[n],[n],0,True
10,69,R3_3_3_2_0Y50.pct,3979,[n],[n],50,True
10,70,2_4_4_2_180Y50.pct,1070,[b],[b],50,True
10,71,2_4_4_2_0Y100.pct,3614,[b],[b],100,True
10,72,R3_3_3_2_0Y100.pct,6315,[n],[n],100,True
10,73,2_3_4_2_90Y100.pct,4025,[b],[b],100,True
10,74,R3_3_3_3_180Y100.pct,4201,[n],[n],100,True
10,75,3_3_3_3_90Y150.pct,5124,[b],[b],150,True
10,76,R3_3_4_2_0Y0.pct,5059,[n],[n],0,True
10,77,3_3_3_2_0Y0.pct,1253,[b],[b],0,True
10,78,3_3_3_2_0Y50.pct,3270,[b],[b],50,True
10,79,R3_3_3_3_180Y50.pct,4659,[n],[n],50,True
10,80,R3_3_3_3_90Y150.pct,4895,[b],[n],150,False
10,81,R3_4_4_3_180Y50.pct,3899,[n],[n],50,True
10,82,2_3_4_2_90Y0.pct,1436,[b],[b],0,True
10,83,R3_3_4_2_0Y150.pct,2965,[n],[n],150,True
10,84,3_3_4_2_0Y50.pct,5778,[b],[b],50,True
10,85,2_4_4_2_180Y100.pct,6069,[n],[b],100,False
10,86,R3_4_4_3_180Y0.pct,2166,[n],[n],0,True
10,87,3_4_3_3_180Y150.pct,5106,[n],[b],150,False
10,88,R3_4_4_3_180Y100.pct,4706,[n],[n],100,True
10,89,R2_3_3_2_0Y100.pct,5033,[n],[n],100,True
10,90,2_3_3_2_0Y50.pct,3481,[b],[b],50,True
10,91,2_4_4_2_0Y0.pct,929,[b],[b],0,True
10,92,3_4_3_2_90Y150.pct,5382,[b],[b],150,True
10,93,R2_4_4_3_90Y150.pct,6668,[b],[n],150,False
10,94,R3_4_3_2_90Y50.pct,2171,[n],[n],50,True
10,95,2_3_3_2_0Y100.pct,3234,[b],[b],100,True
10,96,R3_3_3_2_0Y0.pct,4008,[n],[n],0,True
