Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
12,1,R2_3_3_2_0Y0.pct,1818,[n],[n],0,True
12,2,R3_4_3_2_90Y150.pct,1646,[b],[n],150,False
12,3,2_4_4_2_0Y150.pct,1527,[b],[b],150,True
12,4,3_3_3_2_0Y100.pct,3133,[b],[b],100,True
12,5,3_3_3_3_90Y50.pct,2435,[b],[b],50,True
12,6,R2_4_4_2_0Y50.pct,1251,[n],[n],50,True
12,7,R3_3_3_3_90Y100.pct,2718,[b],[n],100,False
12,8,2_3_3_2_0Y0.pct,1200,[b],[b],0,True
12,9,R3_4_3_3_180Y150.pct,3312,[n],[n],150,True
12,10,2_4_4_2_180Y150.pct,4109,[b],[b],150,True
12,11,R3_3_4_2_0Y50.pct,2292,[n],[n],50,True
12,12,R2_3_4_2_90Y0.pct,1820,[n],[n],0,True
12,13,3_3_3_3_180Y0.pct,1133,[b],[b],0,True
12,14,R3_4_3_3_180Y100.pct,2347,[n],[n],100,True
12,15,2_4_4_3_90Y100.pct,2967,[b],[b],100,True
12,16,3_4_3_2_90Y50.pct,2379,[b],[b],50,True
12,17,R2_4_4_3_90Y100.pct,1921,[n],[n],100,True
12,18,2_3_3_2_0Y150.pct,1966,[b],[b],150,True
12,19,R2_3_4_2_90Y50.pct,3052,[n],[n],50,True
12,20,2_3_4_2_90Y50.pct,1372,[b],[b],50,True
12,21,R2_4_4_2_180Y100.pct,2839,[n],[n],100,True
12,22,R2_4_4_2_0Y0.pct,3238,[b],[n],0,False
12,23,3_4_3_2_90Y0.pct,1429,[b],[b],0,True
12,24,R3_3_3_2_0Y150.pct,4437,[n],[n],150,True
12,25,R3_4_4_3_180Y150.pct,2585,[n],[n],150,True
12,26,R3_4_3_3_180Y50.pct,3376,[n],[n],50,True
12,27,3_4_3_3_180Y50.pct,1669,[b],[b],50,True
12,28,3_3_3_3_90Y100.pct,3972,[b],[b],100,True
12,29,2_4_4_2_180Y0.pct,982,[b],[b],0,True
12,30,R3_4_3_2_90Y0.pct,1572,[n],[n],0,True
12,31,3_3_4_2_0Y150.pct,2311,[n],[b],150,False
12,32,R3_3_4_2_0Y100.pct,3295,[n],[n],100,True
12,33,3_3_3_3_180Y50.pct,1676,[b],[b],50,True
12,34,3_3_4_2_0Y100.pct,2236,[b],[b],100,True
12,35,3_4_4_3_180Y150.pct,2927,[n],[b],150,False
12,36,R3_3_3_3_180Y0.pct,1410,[n],[n],0,True
12,37,3_4_3_3_180Y100.pct,2582,[b],[b],100,True
12,38,R3_3_3_3_180Y150.pct,2000,[n],[n],150,True
12,39,3_4_3_3_180Y0.pct,1077,[b],[b],0,True
12,40,R3_3_3_3_90Y50.pct,1434,[n],[n],50,True
12,41,2_4_4_3_90Y150.pct,1949,[b],[b],150,True
12,42,R3_4_3_3_180Y0.pct,2353,[n],[n],0,True
12,43,3_3_3_3_180Y100.pct,3343,[b],[b],100,True
12,44,R2_3_4_2_90Y150.pct,1649,[n],[n],150,True
12,45,R2_3_3_2_0Y50.pct,1228,[n],[n],50,True
12,46,R2_3_4_2_90Y100.pct,2079,[n],[n],100,True
12,47,3_4_4_3_180Y0.pct,1283,[b],[b],0,True
12,48,3_4_4_3_180Y50.pct,3163,[b],[b],50,True
12,49,R2_4_4_2_0Y100.pct,2124,[n],[n],100,True
12,50,R2_3_3_2_0Y150.pct,3277,[n],[n],150,True
12,51,3_3_4_2_0Y0.pct,908,[b],[b],0,True
12,52,R2_4_4_3_90Y0.pct,1004,[n],[n],0,True
12,53,3_4_4_3_180Y100.pct,2104,[b],[b],100,True
12,54,R2_4_4_2_180Y50.pct,1011,[n],[n],50,True
12,55,3_3_3_2_0Y150.pct,1569,[n],[b],150,False
12,56,2_4_4_2_0Y50.pct,1258,[b],[b],50,True
12,57,R2_4_4_2_0Y150.pct,2800,[n],[n],150,True
12,58,R3_4_3_2_90Y100.pct,3494,[n],[n],100,True
12,59,2_3_4_2_90Y150.pct,2989,[b],[b],150,True
12,60,3_4_3_2_90Y100.pct,2223,[b],[b],100,True
12,61,2_4_4_3_90Y0.pct,945,[b],[b],0,True
12,62,R2_4_4_2_180Y0.pct,2952,[n],[n],0,True
12,63,R2_4_4_3_90Y50.pct,1514,[n],[n],50,True
12,64,2_4_4_3_90Y50.pct,1351,[b],[b],50,True
12,65,R2_4_4_2_180Y150.pct,2950,[n],[n],150,True
12,66,3_3_3_3_90Y0.pct,1506,[b],[b],0,True
12,67,3_3_3_3_180Y150.pct,1977,[b],[b],150,True
12,68,R3_3_3_3_90Y0.pct,1091,[n],[n],0,True
