Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
43,1,R2_3_3_2_0Y0.pct,2069,[b],[n],0,False
43,2,R3_4_3_2_90Y150.pct,4122,[b],[n],150,False
43,3,2_4_4_2_0Y150.pct,2749,[n],[b],150,False
43,4,3_3_3_2_0Y100.pct,5067,[n],[b],100,False
43,5,3_3_3_3_90Y50.pct,4021,[b],[b],50,True
43,6,R2_4_4_2_0Y50.pct,3326,[n],[n],50,True
43,7,R3_3_3_3_90Y100.pct,3774,[b],[n],100,False
43,8,2_3_3_2_0Y0.pct,1582,[b],[b],0,True
43,9,R3_4_3_3_180Y150.pct,N/A,[N/A],[n],150,False
43,10,2_4_4_2_180Y150.pct,4107,[b],[b],150,True
43,11,R3_3_4_2_0Y50.pct,2371,[n],[n],50,True
43,12,R2_3_4_2_90Y0.pct,2150,[n],[n],0,True
43,13,3_3_3_3_180Y0.pct,2971,[b],[b],0,True
43,14,R3_4_3_3_180Y100.pct,3444,[b],[n],100,False
43,15,2_4_4_3_90Y100.pct,3055,[b],[b],100,True
43,16,3_4_3_2_90Y50.pct,5310,[b],[b],50,True
43,17,R2_4_4_3_90Y100.pct,2460,[n],[n],100,True
43,18,2_3_3_2_0Y150.pct,2976,[b],[b],150,True
43,19,R2_3_4_2_90Y50.pct,2570,[n],[n],50,True
43,20,2_3_4_2_90Y50.pct,1727,[b],[b],50,True
43,21,R2_4_4_2_180Y100.pct,2847,[b],[n],100,False
43,22,R2_4_4_2_0Y0.pct,1042,[b],[n],0,False
43,23,3_4_3_2_90Y0.pct,3125,[b],[b],0,True
43,24,R3_3_3_2_0Y150.pct,4046,[n],[n],150,True
43,25,R3_4_4_3_180Y150.pct,5974,[n],[n],150,True
43,26,R3_4_3_3_180Y50.pct,3800,[n],[n],50,True
43,27,3_4_3_3_180Y50.pct,2994,[b],[b],50,True
43,28,3_3_3_3_90Y100.pct,6240,[b],[b],100,True
43,29,2_4_4_2_180Y0.pct,1078,[b],[b],0,True
43,30,R3_4_3_2_90Y0.pct,1381,[n],[n],0,True
43,31,3_3_4_2_0Y150.pct,3865,[n],[b],150,False
43,32,R3_3_4_2_0Y100.pct,N/A,[N/A],[n],100,False
43,33,3_3_3_3_180Y50.pct,3994,[b],[b],50,True
